,SOLUSDT,LTCUSDT,Spread,Zscore
0,175.05890416,97.82,1.9175041600000213,
1,175.922,98.31787556,1.8993602587999874,
2,175.984,98.04176798,2.4500706754000134,
3,174.39708203,97.34305926,2.0998671398000113,
4,173.28786996,97.53146943,0.6571690689000036,
5,174.712,98.92422111,-0.3838713647000134,
6,175.46309656,99.91,-1.3776034400000015,
7,175.89390781,99.27,0.18600781000000666,
8,175.131,98.66,0.5028000000000077,
9,174.47322453,98.25,0.5707245300000068,
10,174.4302793,97.9,1.1472792999999797,
11,175.40678511,98.67963401,0.7438329122999789,
12,174.79461935,97.9676227,1.3919271709999919,
13,173.839,98.56206166,-0.6158491381999909,
14,176.001,98.25,2.0985000000000014,
15,175.75362477,98.45511823,1.4880655028999854,
16,177.58847769,98.80164212,2.709571137599994,
17,177.904,99.37576592,2.008894321599996,
18,177.32,99.92503068,0.4526956963999851,
19,178.07393749,100.46092988,0.2580916023999862,
20,176.244,100.02847867,-0.8064072459000045,-1.5182891362626156
21,176.21418298,101.88,-4.113417019999986,-3.0463432024456463
22,175.78972539,101.6275259,-4.090995453000005,-2.41502755853863
23,175.189,101.77774576,-4.957609995200016,-2.3515961184866474
24,174.221,101.74968005,-5.875933688499998,-2.282506259021424
25,175.268,101.05746025,-3.60370464250002,-1.211007500008369
26,177.253389,100.83,-1.2157109999999989,-0.23709618779414773
27,177.779,100.45562918,-0.02746364860001904,0.21333754873454483
28,177.54370914,100.02568523,0.4982462829000269,0.41725531130490734
29,177.21193484,99.96,0.2827348400000176,0.3357769701332224
30,177.43318249,100.41,-0.29251750999998194,0.12230940002084949
31,177.96093902,100.63,-0.15416097999997191,0.20545041446898174
32,177.804,100.18,0.4853999999999985,0.47248098163655455
33,178.634,100.70221444,0.39108044119996066,0.4595421420869212
34,178.74801982,101.65641893,-1.1838416861000098,-0.18159494839534004
35,178.12852907,101.44,-1.4202709299999867,-0.2179183952714667
36,182.33138212,104.3463418,-2.361642866000011,-0.5546809920064468
37,180.92740085,105.1999934,-5.2765874680000024,-1.665901234847339
38,180.72191812,104.37,-4.012981880000012,-1.0235323075711897
39,180.559,103.83,-3.220100000000002,-0.5938977528190507
40,181.11776548,103.71,-2.4489345199999946,-0.18182186813417844
41,179.629,103.10376666,-2.864666988200014,-0.33523109421640246
42,179.845,103.64,-3.5978000000000065,-0.7053569552911918
43,180.25941029,103.93,-3.6966897100000153,-0.7685861064208078
44,179.435,103.45649956,-3.683004221200008,-0.8197378310916591
45,180.48864389,103.07,-1.9452561100000025,-0.04030041874296093
46,180.798,103.14828005,-1.7744556884999838,0.007018260645933877
47,181.147,103.11,-1.3577000000000226,0.2520491760643925
48,181.60379036,103.6906014,-1.9285741180000002,-0.02658902925748795
49,181.85165605,103.57056152,-1.4682378404000076,0.31957688763348024
50,179.71777264,102.37359748,-1.4834948996000037,0.38212595319048953
51,181.787,102.84386103,-0.24663402310000038,1.196042327044068
52,180.131,101.95,-0.3205000000000098,1.160229662719135
53,178.861,101.57400921,-0.9249963017000198,0.8549325306759645
54,178.38065746,101.02570013,-0.4348317701000042,1.2871185034996677
55,178.92193724,101.12812911,-0.0748512847000029,1.4491168676517483
56,177.921,100.61,-0.15870000000001028,1.2949254351716113
57,178.69316418,100.77142419,0.32774336369999446,1.4527255478981602
58,179.616,101.30029834,0.31447193820002894,1.3868401677368558
59,178.1,101.22940638,-1.076049292600004,0.3395555266933632
60,177.357,101.3344413,-2.004961100999992,-0.42022818061917416
61,176.771,100.66677982,-1.4092002814000182,0.008160950218372699
62,176.48732283,100.82724424,-1.9768994747999784,-0.4920216440622223
63,176.143,101.51,-3.5297000000000196,-1.7775508439676737
64,177.259,101.02,-1.5464000000000055,-0.25180535744394394
65,177.065,100.69,-1.1562999999999874,-0.0054008897937316966
66,180.22268338,102.21,-0.6890166199999896,0.43348085135904046
67,183.72964772,104.52094761,-1.2724295496999787,-0.2236946992495048
68,183.14127446,105.86906102,-4.246963545400007,-2.646902787046403
69,183.392,105.37966835,-3.130012979500009,-1.5371438280776495
70,182.88866597,104.24252485,-1.6206030144999772,-0.28851150614399906
71,180.687,103.49699834,-2.502687061800003,-0.9509239572031368
72,181.09540189,103.96,-2.9137981099999877,-1.1593580327386497
73,180.707,103.26575577,-2.0733877129000007,-0.43705055943409765
74,181.534,102.94942773,-0.6864870821000011,0.6627291301435599
75,181.017,103.53,-2.231099999999998,-0.5079414267568072
76,180.53583141,103.68,-2.9777685900000392,-1.0138603625384857
77,180.109,104.00854861,-3.9861310397000125,-1.6410950603437342
78,179.41434397,103.76,-4.240856030000003,-1.6891912490924286
79,180.138,104.23934011,-4.36563199470001,-1.6685618289703221
80,181.412,104.41,-3.3936999999999955,-0.7781306073324409
81,181.265,104.24,-3.2398000000000025,-0.5950487517206475
82,180.80235648,103.34500757,-2.118306918900032,0.38495972504493536
83,180.013,102.3,-1.0579999999999927,1.2163270443620848
84,179.227,102.3,-1.843999999999994,0.5030114414540816
85,179.47199066,102.73,-2.360109340000008,0.10336152347999197
86,177.599,102.35410904,-3.5677730008000026,-0.8419242097893842
87,177.86103819,102.29,-3.1922618100000193,-0.44418575637542945
88,178.376,102.02762249,-2.2128918072999966,0.5316727927740256
89,176.47883832,100.98,-2.255761680000006,0.4197100021227684
90,175.74196875,100.18457056,-1.5847211411999922,1.0100357306895411
91,175.41270697,99.76808168,-1.1767976035999936,1.3624940069164708
92,175.28075112,99.74,-1.2590488799999946,1.1788309768233245
93,175.713,99.97,-1.2339000000000055,1.0952641259961537
94,176.35072231,100.18594794,-0.9784055437999939,1.2325773490032292
95,175.89099192,99.9,-0.9320080800000028,1.3033593983946854
96,173.508,98.77,-1.3148999999999944,0.9028438236480574
97,171.615,97.83102272,-1.5459102144000099,0.6393944476112776
98,172.52321265,98.05938953,-1.041906818100017,0.9911053401135156
99,174.171,97.72,1.2065999999999804,2.525581565820381
100,175.70433444,98.19,1.9080344399999944,2.594889646699979
101,174.649,98.25,0.7464999999999975,1.556313470369966
102,174.456,98.49509098,0.11968896539997331,1.0048403508467854
103,175.20624196,98.43,0.9851419599999929,1.4690930341173463
104,174.23290944,97.98,0.8083094399999879,1.2279994889366337
105,174.174,98.19088508,0.3761334083999941,0.8512628829205465
106,172.55,97.6,-0.20199999999996976,0.39929318018963633
