,OCEANUSDT,AGIXUSDT,Spread,Zscore
0,1.1551,1.1001599,0.021935303000000017,
1,1.16337681,1.10010695,0.030266651499999853,
2,1.152805,1.0894,0.030723000000000056,
3,1.1583,1.0944,0.031068000000000096,
4,1.1672683,1.1035,0.03066330000000006,
5,1.1552,1.08867904,0.03386058880000009,
6,1.15483383,1.08629618,0.03594876460000007,
7,1.1468,1.0768,0.03769599999999995,
8,1.14505992,1.08137845,0.031240116499999804,
9,1.1451,1.0823,0.030330999999999886,
10,1.16159335,1.1015328,0.02701456599999985,
11,1.1526,1.0969,0.022793000000000063,
12,1.18077106,1.1233799,0.02368976300000014,
13,1.195002,1.14190477,0.01884008689999983,
14,1.1968,1.14566721,0.01676277370000001,
15,1.2057,1.1429,0.02851300000000001,
16,1.2087,1.1463,0.028011000000000008,
17,1.18914309,1.12941669,0.025843899299999862,
18,1.1941,1.1315,0.028654999999999875,
19,1.18352595,1.1258873,0.02386203099999995,
20,1.18605795,1.12658608,0.02567428759999979,-0.39911635774188325
21,1.19539846,1.1321,0.02933545999999998,0.2352279724440238
22,1.1947,1.1323,0.028430999999999873,0.07573545329088485
23,1.198,1.13447408,0.029491697599999922,0.2971511117090016
24,1.19693789,1.1336,0.02932989000000008,0.2837178081158902
25,1.20089278,1.14170384,0.024937824800000064,-0.5362356641206901
26,1.2083,1.1604,0.013087999999999766,-2.3651750214557272
27,1.21149449,1.16191477,0.014722276899999942,-1.8561572771275727
28,1.2081,1.15000464,0.023595220800000094,-0.26267127260181666
29,1.19738995,1.13996615,0.023224815499999885,-0.2705821856136431
30,1.19620075,1.13773073,0.024338098100000094,0.009338455738950839
31,1.19344891,1.13750741,0.021816277700000164,-0.46321521932281484
32,1.18272317,1.1266,0.022325170000000005,-0.35231740569859116
33,1.18785544,1.1311,0.02282244000000011,-0.240238070993646
34,1.1896,1.1368,0.018695999999999824,-1.0920368684584523
35,1.17088531,1.11646197,0.02092948090000002,-0.7047078963693918
36,1.15325301,1.10465503,0.015458329100000112,-1.664580238879094
37,1.1566,1.1118,0.011446000000000067,-2.089987986743109
38,1.15260707,1.10498818,0.014469244599999875,-1.37087575714791
39,1.15716271,1.1097929,0.014076022999999882,-1.3026247751134699
40,1.1575,1.1133829,0.010715612999999902,-1.654930533251764
41,1.1522,1.10593442,0.013087547399999844,-1.1490863265580908
42,1.1305,1.08180847,0.016237275900000014,-0.575434763957322
43,1.1091,1.06186487,0.015379183899999926,-0.6456347054705384
44,1.1113,1.05924248,0.02028024559999997,0.3207082272190093
45,1.1085,1.0473,0.029781000000000057,2.1299994855859117
46,1.1099,1.05807275,0.020085067500000164,0.3325386119427799
47,1.10914484,1.0535384,0.02400028799999987,1.0086226105513845
48,1.1123,1.0568,0.02379600000000015,0.880266121151097
49,1.11598683,1.05943019,0.02477373429999985,1.0515091141587845
50,1.111,1.06196988,0.0171710236,-0.3882601545440203
51,1.1099,1.05883294,0.019302071800000098,0.08454962862996127
52,1.1046,1.0493,0.023821000000000092,0.9721325386253539
53,1.1124,1.0547,0.026059000000000054,1.335549752114033
54,1.1095,1.04804279,0.03001592629999994,1.8649509083148688
55,1.08,1.0215,0.027854999999999963,1.3373745997529238
56,1.09664471,1.0371,0.02843171000000022,1.3118576823734098
57,1.092,1.04177821,0.01896844370000017,-0.244811684644097
58,1.09453118,1.04355461,0.019669931699999976,-0.20602108212400846
59,1.09404633,1.0443,0.01841733000000012,-0.4690263051534353
60,1.0897,1.03947316,0.019042645199999875,-0.4150103566480721
61,1.0852,1.0368,0.017295999999999978,-0.8739097065899785
62,1.08253327,1.03162734,0.019957109799999984,-0.43279313489228
63,1.0742,1.0256863,0.017743110999999923,-0.9540053338709673
64,1.076,1.0328,0.012216000000000005,-2.033400524457309
65,1.0584,1.0117,0.016348999999999947,-1.0884978585682414
66,1.05917081,1.01573278,0.012966046599999892,-1.6251085461571548
67,1.08019897,1.03405831,0.015118910700000043,-1.0971927545776807
68,1.07776655,1.0339,0.012849549999999876,-1.3859842190322407
69,1.09407568,1.05107125,0.011472292500000147,-1.467422258707483
70,1.0924452,1.04621018,0.014848714599999813,-0.770854034550637
71,1.0815107,1.0355,0.014945699999999729,-0.7254462934811812
72,1.09632419,1.0504,0.014412190000000047,-0.7682238395244704
73,1.0913,1.04387102,0.016112849399999796,-0.40417316902084516
74,1.09283522,1.0457,0.015764219999999884,-0.3982262635479155
75,1.10015201,1.05326187,0.015292283899999815,-0.4180800615338667
76,1.10506859,1.06086863,0.012373901099999696,-1.0691533985357449
77,1.1087,1.0593,0.01762100000000011,0.6744113813752718
78,1.10572871,1.05301405,0.021124238499999892,1.869807375136286
79,1.1075,1.0556,0.020231999999999806,1.51364890639439
80,1.1021,1.0512,0.01936400000000016,1.166396929722656
81,1.1011912,1.05024636,0.01943744919999979,1.1765236499398948
82,1.1015,1.05023443,0.019758537099999973,1.2050657154771296
83,1.1144,1.0643,0.018170999999999937,0.7195920606986017
84,1.11603704,1.07675127,0.006983231900000053,-2.48445503635299
85,1.11626535,1.07656223,0.007406253099999871,-2.072991517777742
86,1.09522586,1.0587,0.004764860000000093,-2.247616993902574
87,1.0899,1.057,0.0011900000000000244,-2.4355825023687747
88,1.0757,1.0414,0.003058000000000005,-1.8042220589513538
89,1.0784,1.04724816,-0.00026560480000004105,-2.0097234016541523
90,1.0717,1.0368,0.0037960000000001326,-1.2841068255957857
91,1.06437251,1.0304,0.003060510000000072,-1.2570104735794563
92,1.0697,1.0334,0.005298000000000025,-0.8688033945706686
93,1.06449508,1.03061004,0.0029667387999998684,-1.0818392157517314
94,1.0665,1.0315,0.00405499999999992,-0.8544766181969883
